,secID,endDate,ADJUST_NAV
2324,000955.OFCN,2017/3/9,1.206
2325,000955.OFCN,2017/3/10,1.207
2326,000955.OFCN,2017/3/13,1.214
2327,000955.OFCN,2017/3/14,1.216
2328,000955.OFCN,2017/3/15,1.211
2329,000955.OFCN,2017/3/16,1.221
2330,000955.OFCN,2017/3/17,1.219
2331,000955.OFCN,2017/3/20,1.219
2332,000955.OFCN,2017/3/21,1.218
2333,000955.OFCN,2017/3/22,1.215
2334,000955.OFCN,2017/3/23,1.216
2335,000955.OFCN,2017/3/24,1.217
2336,000955.OFCN,2017/3/27,1.212
2337,000955.OFCN,2017/3/28,1.208
2338,000955.OFCN,2017/3/29,1.204
2339,000955.OFCN,2017/3/30,1.182
2340,000955.OFCN,2017/3/31,1.194
2341,000955.OFCN,2017/4/5,1.21
2342,000955.OFCN,2017/4/6,1.207
2343,000955.OFCN,2017/4/7,1.209
2344,000955.OFCN,2017/4/10,1.198
2345,000955.OFCN,2017/4/11,1.199
2346,000955.OFCN,2017/4/12,1.19
2347,000955.OFCN,2017/4/13,1.188
2348,000955.OFCN,2017/4/14,1.177
2349,000955.OFCN,2017/4/17,1.165
2350,000955.OFCN,2017/4/18,1.157
2351,000955.OFCN,2017/4/19,1.152
2352,000955.OFCN,2017/4/20,1.153
2353,000955.OFCN,2017/4/21,1.149
2354,000955.OFCN,2017/4/24,1.129
2355,000955.OFCN,2017/4/25,1.134
2356,000955.OFCN,2017/4/26,1.138
2357,000955.OFCN,2017/4/27,1.143
2358,000955.OFCN,2017/4/28,1.145
2359,000955.OFCN,2017/5/2,1.142
2360,000955.OFCN,2017/5/3,1.14
2361,000955.OFCN,2017/5/4,1.138
2362,000955.OFCN,2017/5/5,1.13
2363,000955.OFCN,2017/5/8,1.118
2364,000955.OFCN,2017/5/9,1.121
2365,000955.OFCN,2017/5/10,1.117
2366,000955.OFCN,2017/5/11,1.121
2367,000955.OFCN,2017/5/12,1.127
2368,000955.OFCN,2017/5/15,1.132
2369,000955.OFCN,2017/5/16,1.145
2370,000955.OFCN,2017/5/17,1.142
2371,000955.OFCN,2017/5/18,1.139
2372,000955.OFCN,2017/5/19,1.136
2373,000955.OFCN,2017/5/22,1.138
2374,000955.OFCN,2017/5/23,1.129
2375,000955.OFCN,2017/5/24,1.13
2376,000955.OFCN,2017/5/25,1.139
2377,000955.OFCN,2017/5/26,1.14
2378,000955.OFCN,2017/5/31,1.139
2379,000960.OFCN,2017/3/1,1.006
2380,000960.OFCN,2017/3/2,1.002
2381,000960.OFCN,2017/3/3,1.007
2382,000960.OFCN,2017/3/6,1.014
2383,000960.OFCN,2017/3/7,1.022
2384,000960.OFCN,2017/3/8,1.018
2385,000960.OFCN,2017/3/9,1.013
2386,000960.OFCN,2017/3/10,1.017
2387,000960.OFCN,2017/3/13,1.026
2388,000960.OFCN,2017/3/14,1.024
2389,000960.OFCN,2017/3/15,1.027
2390,000960.OFCN,2017/3/16,1.037
2391,000960.OFCN,2017/3/17,1.03
2392,000960.OFCN,2017/3/20,1.039
2393,000960.OFCN,2017/3/21,1.048
2394,000960.OFCN,2017/3/22,1.059
2395,000960.OFCN,2017/3/23,1.054
2396,000960.OFCN,2017/3/24,1.056
2397,000960.OFCN,2017/3/27,1.053
2398,000960.OFCN,2017/3/28,1.054
2399,000960.OFCN,2017/3/29,1.043
2400,000960.OFCN,2017/3/30,1.03
2401,000960.OFCN,2017/3/31,1.048
2402,000960.OFCN,2017/4/5,1.062
2403,000960.OFCN,2017/4/6,1.064
2404,000960.OFCN,2017/4/7,1.066
2405,000960.OFCN,2017/4/10,1.059
2406,000960.OFCN,2017/4/11,1.054
2407,000960.OFCN,2017/4/12,1.048
2408,000960.OFCN,2017/4/13,1.051
2409,000960.OFCN,2017/4/14,1.04
2410,000960.OFCN,2017/4/17,1.036
2411,000960.OFCN,2017/4/18,1.046
2412,000960.OFCN,2017/4/19,1.046
2413,000960.OFCN,2017/4/20,1.058
2414,000960.OFCN,2017/4/21,1.05
2415,000960.OFCN,2017/4/24,1.036
2416,000960.OFCN,2017/4/25,1.043
2417,000960.OFCN,2017/4/26,1.044
2418,000960.OFCN,2017/4/27,1.05
2419,000960.OFCN,2017/4/28,1.051
2420,000960.OFCN,2017/5/2,1.048
2421,000960.OFCN,2017/5/3,1.04
2422,000960.OFCN,2017/5/4,1.039
2423,000960.OFCN,2017/5/5,1.029
2424,000960.OFCN,2017/5/8,1.015
2425,000960.OFCN,2017/5/9,1.026
2426,000960.OFCN,2017/5/10,1.016
2427,000960.OFCN,2017/5/11,1.023
2428,000960.OFCN,2017/5/12,1.021
2429,000960.OFCN,2017/5/15,1.029
2430,000960.OFCN,2017/5/16,1.052
2431,000960.OFCN,2017/5/17,1.05
2432,000960.OFCN,2017/5/18,1.042
2433,000960.OFCN,2017/5/19,1.038
2434,000960.OFCN,2017/5/22,1.027
2435,000960.OFCN,2017/5/23,1.013
2436,000960.OFCN,2017/5/24,1.011
2437,000960.OFCN,2017/5/25,1.014
2438,000960.OFCN,2017/5/26,1.011
2439,000960.OFCN,2017/5/31,1.005
2440,000971.OFCN,2017/3/1,1.008
2441,000971.OFCN,2017/3/2,1.006
2442,000971.OFCN,2017/3/3,1.007
2443,000971.OFCN,2017/3/6,1.015
2444,000971.OFCN,2017/3/7,1.02
2445,000971.OFCN,2017/3/8,1.013
2446,000971.OFCN,2017/3/9,1.011
2447,000971.OFCN,2017/3/10,1.009
2448,000971.OFCN,2017/3/13,1.014
2449,000971.OFCN,2017/3/14,1.01
2450,000971.OFCN,2017/3/15,1.012
2451,000971.OFCN,2017/3/16,1.024
2452,000971.OFCN,2017/3/17,1.013
2453,000971.OFCN,2017/3/20,1.014
2454,000971.OFCN,2017/3/21,1.004
2455,000971.OFCN,2017/3/22,1.004
2456,000971.OFCN,2017/3/23,1.007
2457,000971.OFCN,2017/3/24,1.01
2458,000971.OFCN,2017/3/27,1.011
2459,000971.OFCN,2017/3/28,1.014
2460,000971.OFCN,2017/3/29,1.01
2461,000971.OFCN,2017/3/30,0.993
2462,000971.OFCN,2017/3/31,1.001
2463,000971.OFCN,2017/4/5,1.029
2464,000971.OFCN,2017/4/6,1.033
2465,000971.OFCN,2017/4/7,1.04
2466,000971.OFCN,2017/4/10,1.036
2467,000971.OFCN,2017/4/11,1.047
2468,000971.OFCN,2017/4/12,1.041
2469,000971.OFCN,2017/4/13,1.037
2470,000971.OFCN,2017/4/14,1.029
2471,000971.OFCN,2017/4/17,1.009
2472,000971.OFCN,2017/4/18,0.999
2473,000971.OFCN,2017/4/19,0.99
2474,000971.OFCN,2017/4/20,0.991
2475,000971.OFCN,2017/4/21,0.993
2476,000971.OFCN,2017/4/24,0.966
2477,000971.OFCN,2017/4/25,0.972
2478,000971.OFCN,2017/4/26,0.972
2479,000971.OFCN,2017/4/27,0.976
2480,000971.OFCN,2017/4/28,0.984
2481,000971.OFCN,2017/5/2,0.982
2482,000971.OFCN,2017/5/3,0.983
2483,000971.OFCN,2017/5/4,0.981
2484,000971.OFCN,2017/5/5,0.969
2485,000971.OFCN,2017/5/8,0.948
2486,000971.OFCN,2017/5/9,0.955
2487,000971.OFCN,2017/5/10,0.941
2488,000971.OFCN,2017/5/11,0.934
2489,000971.OFCN,2017/5/12,0.938
2490,000971.OFCN,2017/5/15,0.944
2491,000971.OFCN,2017/5/16,0.965
2492,000971.OFCN,2017/5/17,0.971
2493,000971.OFCN,2017/5/18,0.968
2494,000971.OFCN,2017/5/19,0.966
2495,000971.OFCN,2017/5/22,0.956
2496,000971.OFCN,2017/5/23,0.935
2497,000971.OFCN,2017/5/24,0.941
2498,000971.OFCN,2017/5/25,0.943
2499,000971.OFCN,2017/5/26,0.942
2500,000971.OFCN,2017/5/31,0.939
2501,000974.OFCN,2017/3/1,1.202
2502,000974.OFCN,2017/3/2,1.196
2503,000974.OFCN,2017/3/3,1.2
2504,000974.OFCN,2017/3/6,1.211
2505,000974.OFCN,2017/3/7,1.215
2506,000974.OFCN,2017/3/8,1.213
2507,000974.OFCN,2017/3/9,1.205
2508,000974.OFCN,2017/3/10,1.215
2509,000974.OFCN,2017/3/13,1.228
2510,000974.OFCN,2017/3/14,1.233
2511,000974.OFCN,2017/3/15,1.239
2512,000974.OFCN,2017/3/16,1.244
2513,000974.OFCN,2017/3/17,1.235
2514,000974.OFCN,2017/3/20,1.241
2515,000974.OFCN,2017/3/21,1.261
2516,000974.OFCN,2017/3/22,1.268
2517,000974.OFCN,2017/3/23,1.267
2518,000974.OFCN,2017/3/24,1.277
2519,000974.OFCN,2017/3/27,1.269
2520,000974.OFCN,2017/3/28,1.269
2521,000974.OFCN,2017/3/29,1.264
2522,000974.OFCN,2017/3/30,1.252
2523,000974.OFCN,2017/3/31,1.27
2524,000974.OFCN,2017/4/5,1.286
2525,000974.OFCN,2017/4/6,1.291
2526,000974.OFCN,2017/4/7,1.297
2527,000974.OFCN,2017/4/10,1.294
2528,000974.OFCN,2017/4/11,1.289
2529,000974.OFCN,2017/4/12,1.283
2530,000974.OFCN,2017/4/13,1.299
2531,000974.OFCN,2017/4/14,1.282
2532,000974.OFCN,2017/4/17,1.282
2533,000974.OFCN,2017/4/18,1.295
2534,000974.OFCN,2017/4/19,1.302
2535,000974.OFCN,2017/4/20,1.318
2536,000974.OFCN,2017/4/21,1.309
2537,000974.OFCN,2017/4/24,1.29
2538,000974.OFCN,2017/4/25,1.299
2539,000974.OFCN,2017/4/26,1.305
2540,000974.OFCN,2017/4/27,1.306
2541,000974.OFCN,2017/4/28,1.294
2542,000974.OFCN,2017/5/2,1.296
2543,000974.OFCN,2017/5/3,1.291
2544,000974.OFCN,2017/5/4,1.286
2545,000974.OFCN,2017/5/5,1.275
2546,000974.OFCN,2017/5/8,1.254
2547,000974.OFCN,2017/5/9,1.253
2548,000974.OFCN,2017/5/10,1.242
2549,000974.OFCN,2017/5/11,1.253
2550,000974.OFCN,2017/5/12,1.258
2551,000974.OFCN,2017/5/15,1.262
2552,000974.OFCN,2017/5/16,1.286
2553,000974.OFCN,2017/5/17,1.279
2554,000974.OFCN,2017/5/18,1.276
2555,000974.OFCN,2017/5/19,1.276
2556,000974.OFCN,2017/5/22,1.274
2557,000974.OFCN,2017/5/23,1.269
2558,000974.OFCN,2017/5/24,1.267
2559,000974.OFCN,2017/5/25,1.275
2560,000974.OFCN,2017/5/26,1.275
2561,000974.OFCN,2017/5/31,1.274
2562,000978.OFCN,2017/3/1,1.401
2563,000978.OFCN,2017/3/2,1.393
2564,000978.OFCN,2017/3/3,1.399
2565,000978.OFCN,2017/3/6,1.416
2566,000978.OFCN,2017/3/7,1.416
2567,000978.OFCN,2017/3/8,1.41
2568,000978.OFCN,2017/3/9,1.398
2569,000978.OFCN,2017/3/10,1.404
2570,000978.OFCN,2017/3/13,1.419
2571,000978.OFCN,2017/3/14,1.418
2572,000978.OFCN,2017/3/15,1.427
2573,000978.OFCN,2017/3/16,1.439
2574,000978.OFCN,2017/3/17,1.423
2575,000978.OFCN,2017/3/20,1.427
2576,000978.OFCN,2017/3/21,1.431
2577,000978.OFCN,2017/3/22,1.428
2578,000978.OFCN,2017/3/23,1.426
2579,000978.OFCN,2017/3/24,1.437
2580,000978.OFCN,2017/3/27,1.429
2581,000978.OFCN,2017/3/28,1.425
2582,000978.OFCN,2017/3/29,1.42
2583,000978.OFCN,2017/3/30,1.397
2584,000978.OFCN,2017/3/31,1.407
2585,000978.OFCN,2017/4/5,1.44
2586,000978.OFCN,2017/4/6,1.446
2587,000978.OFCN,2017/4/7,1.454
2588,000978.OFCN,2017/4/10,1.449
2589,000978.OFCN,2017/4/11,1.462
2590,000978.OFCN,2017/4/12,1.456
2591,000978.OFCN,2017/4/13,1.462
2592,000978.OFCN,2017/4/14,1.438
2593,000978.OFCN,2017/4/17,1.422
2594,000978.OFCN,2017/4/18,1.41
2595,000978.OFCN,2017/4/19,1.391
2596,000978.OFCN,2017/4/20,1.396
2597,000978.OFCN,2017/4/21,1.403
2598,000978.OFCN,2017/4/24,1.371
2599,000978.OFCN,2017/4/25,1.375
2600,000978.OFCN,2017/4/26,1.376
2601,000978.OFCN,2017/4/27,1.38
2602,000978.OFCN,2017/4/28,1.387
2603,000978.OFCN,2017/5/2,1.386
2604,000978.OFCN,2017/5/3,1.382
2605,000978.OFCN,2017/5/4,1.377
2606,000978.OFCN,2017/5/5,1.356
2607,000978.OFCN,2017/5/8,1.329
2608,000978.OFCN,2017/5/9,1.342
2609,000978.OFCN,2017/5/10,1.314
2610,000978.OFCN,2017/5/11,1.312
2611,000978.OFCN,2017/5/12,1.312
2612,000978.OFCN,2017/5/15,1.312
2613,000978.OFCN,2017/5/16,1.341
2614,000978.OFCN,2017/5/17,1.344
2615,000978.OFCN,2017/5/18,1.331
2616,000978.OFCN,2017/5/19,1.328
2617,000978.OFCN,2017/5/22,1.317
2618,000978.OFCN,2017/5/23,1.29
2619,000978.OFCN,2017/5/24,1.296
2620,000978.OFCN,2017/5/25,1.312
2621,000978.OFCN,2017/5/26,1.311
2622,000978.OFCN,2017/5/31,1.305
2623,000979.OFCN,2017/3/1,0.958
2624,000979.OFCN,2017/3/2,0.955
2625,000979.OFCN,2017/3/3,0.952
2626,000979.OFCN,2017/3/6,0.952
2627,000979.OFCN,2017/3/7,0.956
2628,000979.OFCN,2017/3/8,0.962
2629,000979.OFCN,2017/3/9,0.951
2630,000979.OFCN,2017/3/10,0.954
2631,000979.OFCN,2017/3/13,0.965
2632,000979.OFCN,2017/3/14,0.966
2633,000979.OFCN,2017/3/15,0.967
2634,000979.OFCN,2017/3/16,0.977
2635,000979.OFCN,2017/3/17,0.968
2636,000979.OFCN,2017/3/20,0.975
2637,000979.OFCN,2017/3/21,0.979
2638,000979.OFCN,2017/3/22,0.968
2639,000979.OFCN,2017/3/23,0.966
2640,000979.OFCN,2017/3/24,0.969
2641,000979.OFCN,2017/3/27,0.958
2642,000979.OFCN,2017/3/28,0.96
2643,000979.OFCN,2017/3/29,0.96
2644,000979.OFCN,2017/3/30,0.955
2645,000979.OFCN,2017/3/31,0.958
2646,000979.OFCN,2017/4/5,0.968
2647,000979.OFCN,2017/4/6,0.963
2648,000979.OFCN,2017/4/7,0.968
2649,000979.OFCN,2017/4/10,0.959
2650,000979.OFCN,2017/4/11,0.954
2651,000979.OFCN,2017/4/12,0.957
2652,000979.OFCN,2017/4/13,0.956
2653,000979.OFCN,2017/4/14,0.954
2654,000979.OFCN,2017/4/17,0.953
2655,000979.OFCN,2017/4/18,0.943
2656,000979.OFCN,2017/4/19,0.941
2657,000979.OFCN,2017/4/20,0.954
2658,000979.OFCN,2017/4/21,0.952
2659,000979.OFCN,2017/4/24,0.952
2660,000979.OFCN,2017/4/25,0.957
2661,000979.OFCN,2017/4/26,0.959
2662,000979.OFCN,2017/4/27,0.958
2663,000979.OFCN,2017/4/28,0.954
2664,000979.OFCN,2017/5/2,0.959
2665,000979.OFCN,2017/5/3,0.96
2666,000979.OFCN,2017/5/4,0.957
2667,000979.OFCN,2017/5/5,0.952
2668,000979.OFCN,2017/5/8,0.955
2669,000979.OFCN,2017/5/9,0.961
2670,000979.OFCN,2017/5/10,0.963
2671,000979.OFCN,2017/5/11,0.967
2672,000979.OFCN,2017/5/12,0.966
2673,000979.OFCN,2017/5/15,0.969
2674,000979.OFCN,2017/5/16,0.975
2675,000979.OFCN,2017/5/17,0.971
2676,000979.OFCN,2017/5/18,0.962
2677,000979.OFCN,2017/5/19,0.969
2678,000979.OFCN,2017/5/22,0.973
2679,000979.OFCN,2017/5/23,0.974
2680,000979.OFCN,2017/5/24,0.974
2681,000979.OFCN,2017/5/25,0.978
2682,000979.OFCN,2017/5/26,0.974
2683,000979.OFCN,2017/5/31,0.978
2684,000985.OFCN,2017/3/1,1.14
2685,000985.OFCN,2017/3/2,1.131
2686,000985.OFCN,2017/3/3,1.132
2687,000985.OFCN,2017/3/6,1.14
2688,000985.OFCN,2017/3/7,1.141
2689,000985.OFCN,2017/3/8,1.14
2690,000985.OFCN,2017/3/9,1.133
2691,000985.OFCN,2017/3/10,1.132
2692,000985.OFCN,2017/3/13,1.139
2693,000985.OFCN,2017/3/14,1.134
2694,000985.OFCN,2017/3/15,1.133
2695,000985.OFCN,2017/3/16,1.153
2696,000985.OFCN,2017/3/17,1.146
2697,000985.OFCN,2017/3/20,1.153
2698,000985.OFCN,2017/3/21,1.152
2699,000985.OFCN,2017/3/22,1.157
2700,000985.OFCN,2017/3/23,1.162
2701,000985.OFCN,2017/3/24,1.168
2702,000985.OFCN,2017/3/27,1.163
2703,000985.OFCN,2017/3/28,1.162
2704,000985.OFCN,2017/3/29,1.153
2705,000985.OFCN,2017/3/30,1.136
2706,000985.OFCN,2017/3/31,1.14
2707,000985.OFCN,2017/4/5,1.167
2708,000985.OFCN,2017/4/6,1.177
2709,000985.OFCN,2017/4/7,1.184
2710,000985.OFCN,2017/4/10,1.192
2711,000985.OFCN,2017/4/11,1.207
2712,000985.OFCN,2017/4/12,1.201
2713,000985.OFCN,2017/4/13,1.203
2714,000985.OFCN,2017/4/14,1.188
2715,000985.OFCN,2017/4/17,1.174
2716,000985.OFCN,2017/4/18,1.163
2717,000985.OFCN,2017/4/19,1.156
2718,000985.OFCN,2017/4/20,1.157
2719,000985.OFCN,2017/4/21,1.147
2720,000985.OFCN,2017/4/24,1.121
2721,000985.OFCN,2017/4/25,1.119
2722,000985.OFCN,2017/4/26,1.121
2723,000985.OFCN,2017/4/27,1.12
2724,000985.OFCN,2017/4/28,1.122
2725,000985.OFCN,2017/5/2,1.126
2726,000985.OFCN,2017/5/3,1.126
2727,000985.OFCN,2017/5/4,1.125
2728,000985.OFCN,2017/5/5,1.109
2729,000985.OFCN,2017/5/8,1.078
2730,000985.OFCN,2017/5/9,1.085
2731,000985.OFCN,2017/5/10,1.067
2732,000985.OFCN,2017/5/11,1.065
2733,000985.OFCN,2017/5/12,1.058
2734,000985.OFCN,2017/5/15,1.051
2735,000985.OFCN,2017/5/16,1.07
2736,000985.OFCN,2017/5/17,1.07
2737,000985.OFCN,2017/5/18,1.062
2738,000985.OFCN,2017/5/19,1.065
2739,000985.OFCN,2017/5/22,1.052
2740,000985.OFCN,2017/5/23,1.042
2741,000985.OFCN,2017/5/24,1.046
2742,000985.OFCN,2017/5/25,1.065
2743,000985.OFCN,2017/5/26,1.061
2744,000985.OFCN,2017/5/31,1.058
2745,000991.OFCN,2017/3/1,1.021
2746,000991.OFCN,2017/3/2,1.016
2747,000991.OFCN,2017/3/3,1.015
2748,000991.OFCN,2017/3/6,1.019
2749,000991.OFCN,2017/3/7,1.023
2750,000991.OFCN,2017/3/8,1.021
2751,000991.OFCN,2017/3/9,1.013
2752,000991.OFCN,2017/3/10,1.009
2753,000991.OFCN,2017/3/13,1.015
2754,000991.OFCN,2017/3/14,1.013
2755,000991.OFCN,2017/3/15,1.013
2756,000991.OFCN,2017/3/16,1.021
2757,000991.OFCN,2017/3/17,1.01
2758,000991.OFCN,2017/3/20,1.011
2759,000991.OFCN,2017/3/21,1.013
2760,000991.OFCN,2017/3/22,1.005
2761,000991.OFCN,2017/3/23,1.01
2762,000991.OFCN,2017/3/24,1.014
2763,000991.OFCN,2017/3/27,1.014
2764,000991.OFCN,2017/3/28,1.012
2765,000991.OFCN,2017/3/29,1.009
2766,000991.OFCN,2017/3/30,0.994
2767,000991.OFCN,2017/3/31,1
2768,000991.OFCN,2017/4/5,1.007
2769,000991.OFCN,2017/4/6,1.005
2770,000991.OFCN,2017/4/7,1.004
2771,000991.OFCN,2017/4/10,0.993
2772,000991.OFCN,2017/4/11,0.994
2773,000991.OFCN,2017/4/12,0.993
2774,000991.OFCN,2017/4/13,0.996
2775,000991.OFCN,2017/4/14,0.991
2776,000991.OFCN,2017/4/17,0.985
2777,000991.OFCN,2017/4/18,0.975
2778,000991.OFCN,2017/4/19,0.965
2779,000991.OFCN,2017/4/20,0.961
2780,000991.OFCN,2017/4/21,0.967
2781,000991.OFCN,2017/4/24,0.957
2782,000991.OFCN,2017/4/25,0.961
